Bureau,Geo,Nom,Inscrits,Votants,Nuls,Blancs,Exprimé,ROSE,CORADEL,FRIGOUT,QUENARD,ROBINET,MURA,LANG
804,"[49.22134339999999, 4.0371549]",Bureau 804 - Ecole Maternelle La Pérouse,870,351,3,5,343,3,31,105,55,115,16,18
805,"[49.22811859999999, 4.0334885]",Bureau 805 - Ecole Maternelle Vasco de Gama,727,261,2,2,257,3,20,79,27,101,9,18
901,"[49.2347213, 4.0312326]",Bureau 901 - Ecole Elémentaire Barthou,948,411,7,7,397,6,30,102,75,153,10,21
902,"[49.2389853, 4.0315521]",Bureau 902 - Ecole Elémentaire Louvois,970,422,2,8,412,10,50,112,76,126,11,27
903,"[49.2389853, 4.0315521]",Bureau 903 - Ecole Elémentaire Louvois,1006,437,3,6,428,9,42,65,80,196,3,33
904,"[49.2453669, 4.0372902]",Bureau 904 - Ecole Elémentaire Ruisselet,840,397,4,4,389,3,31,79,88,158,5,25
905,"[49.2453669, 4.0372902]",Bureau 905 - Ecole Elémentaire Ruisselet,911,519,4,8,507,9,29,69,101,238,4,57
906,"[49.2415312, 4.0390089]",Bureau 906 - Ecole Elémentaire Tournebonneau,779,352,0,12,340,4,15,70,60,154,5,32
907,"[49.2415312, 4.0390089]",Bureau 907 - Ecole Elémentaire Tournebonneau,798,424,1,5,418,0,20,66,85,211,3,33
908,"[49.2462753, 4.0414118]",Bureau 908 - Maison de la Vie Associative,1028,499,11,2,486,4,38,90,101,207,3,43
909,"[49.2462753, 4.0414118]",Bureau 909 - Maison de la Vie Associative,836,422,3,2,417,7,31,58,82,195,3,41
910,"[49.2500332, 4.0540109]",Bureau 910 - Ecole Maternelle Yser,1062,489,4,10,475,9,17,151,66,184,8,40
911,"[49.2500332, 4.0540109]",Bureau 911 - Ecole Maternelle Yser,966,378,2,0,376,6,21,171,42,113,1,22
912,"[49.248818, 4.0643313]",Bureau 912 - Ecole Elémentaire Adriatique,1008,442,5,3,434,6,28,116,94,156,2,32
913,"[49.2543704, 4.0643274]",Bureau 913 - Ecole Maternelle Danube,1139,411,6,2,403,7,22,137,58,145,4,30
914,"[49.23240260000001, 4.0476656]",Bureau 914 - Salle Moulin Huon,681,275,2,9,264,3,6,80,27,133,1,14
